16 Personality Type Results,Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Purchase_Based_On_Sustainability,Meals_Delivery_Service_Percent,Ride_Share_Percent
ESFP-T,Business Administration,,Applied Analytics,,No,2025,Junior,3.63,16,No,No,Work,Consulting,Business/Corporate Services,4-Jan,No,No,Yes,No,No,No,4,0%,Yes,10-20%,20-30%,≤ 10%,Yes,10-20%,4,Female,20,US,92602,Yes,2,"Instagram, Tiktok",Yes,Yes,Yes,Yes,25%,75%
ISFJ-T,International Relations (Global Business),,Data Science,,Yes,2025,Junior,4,18,No,No,Work,Finance: Accounting,Finance Management,4-Jan,No,No,Yes,No,No,No,3,0%,Yes,> 50%,10-20%,≤ 10%,Yes,20-30%,3,Female,21,US,95129,Yes,2,"Instagram, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,0%,25%
ENFP-T," Biomedical Engineering, Molecular and Cellular Engineering Emphasis",,Applied Analytics,,No,2024,Senior,3.4,18,No,No,Work,Pharmaceuticals/Biotech/Medical Devices,Engineering,8+,Yes,No,Yes,No,No,No,4,0%,Yes,30-40%,20-30%,≤ 10%,Yes,20-30%,4,Female,22,US,55419,No,1,News Sites (e.g. Wall Street Journal),Yes,Yes,Yes,Yes,25%,25%
ENFJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.8,16,No,Yes,Work,Media/Communications,Marketing,0,No,No,No,Yes,Yes,No,4,0%,No,10-20%,30-40%,10-20%,Yes,20-30%,4,Female,21,TW,N/A,Yes,2,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,75%,75%
ESTJ-T,Biochemistry,,Applied Analytics,,No,2025,Junior,3.98,18,No,No,Graduate School,Health Care,Other,4-Jan,No,No,Yes,No,Yes,Yes,3,50%,No,> 50%,10-20%,10-20%,Yes,> 50%,3,Male,21,US,94303,Yes,2,"Instagram, Google News, News Sites (e.g. Wall Street Journal)",Yes,No,Sometimes,Yes,0%,0%
ESTJ-A,Business Administration ,,Applied Analytics,,No,2025,Junior,3.24,18,No,No,Work,Finance: Asset Management,Business/Corporate Services,4-Jan,Yes,No,Yes,No,No,No,4,25%,Yes,10-20%,10-20%,≤ 10%,Yes,> 50%,4,Female,21,US,11968,No,2,"Instagram, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,75%
INFJ-A,Data Science,Health and Human Sciences,Web Development,,No,2024,Senior,3.88,12,No,No,Graduate School,Technology: Software/Internet,Engineering,4-Jan,No,No,No,No,Yes,No,3,75%,Yes,20-30%,10-20%,> 50%,Yes,30-40%,4,Female,22,US,94010,Yes,3,"Instagram, X, Tiktok, TV, Youtube",Yes,Yes,No,Yes,0%,25%
ISFJ-T,Communication ,,Business Finance,Applied Analytics ,No,2024,Senior,3.9,20,No,Yes,Work,Consulting,"Planning, Policy, and Strategy",4-Jan,No,No,Yes,Yes,No,No,5,0%,Yes,20-30%,30-40%,10-20%,Yes,20-30%,5,Female,22,CN,N/A,No,2,Instagram,Yes,No,No,Yes,0%,25%
ESFJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.82,16,No,No,Work,Finance: Asset Management,Finance Management,8-May,Yes,No,No,No,Yes,Yes,3,0%,Yes,10-20%,30-40%,≤ 10%,Yes,10-20%,4,Male,21,US,7059,No,1,"Instagram, X, Youtube",Yes,Yes,No,Yes,0%,25%
ENTJ-A,Economics and Mathematics,,Applied Analytics,Music Recording,No,2025,Junior,3.71,16,No,No,Work,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",0,No,No,No,No,No,No,4,0%,Yes,10-20%,> 50%,≤ 10%,Depends,20-30%,5,Male,20,US,84043,No,2,News Sites (e.g. Wall Street Journal),Yes,Yes,No,Yes,25%,100%
